BAG_huisnummer,BAG_huisletter,BAG_huisnummertoevoeging,BAG_postcode,BAG_openbareruimtenaam,BAG_woonplaatsnaam,Energielabel,Energielabels_Bouwjaar,full_address,longitude,latitude,building_polygon_wkt,busy_roads
21,,1,1054CB,Tweede Helmersstraat,Amsterdam,D,1917,"Tweede Helmersstraat 21 1, 1054CB, Amsterdam",4.87738524,52.36460417,"MULTIPOLYGON (((4.8774345 52.3646598,4.8775584 52.3644994,4.8773553 52.3644387,4.877353 52.3644416,4.8772903 52.3645196,4.87723 52.3645997,4.8774345 52.3646598)))",0
20,,4,1054CJ,Tweede Helmersstraat,Amsterdam,F,1930,"Tweede Helmersstraat 20 4, 1054CJ, Amsterdam",4.87752905,52.36486543,"MULTIPOLYGON (((4.8775276 52.3649559,4.8776033 52.3648589,4.8775172 52.3648337,4.8774423 52.3649311,4.8775276 52.3649559)))",0
20,,2,1054CJ,Tweede Helmersstraat,Amsterdam,A,1900,"Tweede Helmersstraat 20 2, 1054CJ, Amsterdam",4.87752905,52.36486543,"MULTIPOLYGON (((4.8775276 52.3649559,4.8776033 52.3648589,4.8775172 52.3648337,4.8774423 52.3649311,4.8775276 52.3649559)))",0
20,,H,1054CJ,Tweede Helmersstraat,Amsterdam,C,1900,"Tweede Helmersstraat 20 H, 1054CJ, Amsterdam",4.87752905,52.36486543,"MULTIPOLYGON (((4.8775276 52.3649559,4.8776033 52.3648589,4.8775172 52.3648337,4.8774423 52.3649311,4.8775276 52.3649559)))",0
18,,3,1054CJ,Tweede Helmersstraat,Amsterdam,D,1900,"Tweede Helmersstraat 18 3, 1054CJ, Amsterdam",4.87760225,52.36488373,"MULTIPOLYGON (((4.8775974 52.3649763,4.8776723 52.364879,4.8776033 52.3648589,4.8775276 52.3649559,4.8775974 52.3649763)))",0
18,,2,1054CJ,Tweede Helmersstraat,Amsterdam,C,1930,"Tweede Helmersstraat 18 2, 1054CJ, Amsterdam",4.87760225,52.36488373,"MULTIPOLYGON (((4.8775974 52.3649763,4.8776723 52.364879,4.8776033 52.3648589,4.8775276 52.3649559,4.8775974 52.3649763)))",0
18,,H,1054CJ,Tweede Helmersstraat,Amsterdam,D,1900,"Tweede Helmersstraat 18 H, 1054CJ, Amsterdam",4.87760225,52.36488373,"MULTIPOLYGON (((4.8775974 52.3649763,4.8776723 52.364879,4.8776033 52.3648589,4.8775276 52.3649559,4.8775974 52.3649763)))",0
17,,1,1054CB,Tweede Helmersstraat,Amsterdam,D,1930,"Tweede Helmersstraat 17 1, 1054CB, Amsterdam",4.87760473,52.36466803,"MULTIPOLYGON (((4.8776493 52.3647229,4.8777615 52.3645788,4.8777973 52.3645352,4.8775799 52.3644736,4.8775584 52.3644994,4.8774345 52.3646598,4.8776493 52.3647229)))",0
17,,H,1054CB,Tweede Helmersstraat,Amsterdam,C,1930,"Tweede Helmersstraat 17 H, 1054CB, Amsterdam",4.87762749,52.36461632,"MULTIPOLYGON (((4.8776493 52.3647229,4.8777615 52.3645788,4.8777973 52.3645352,4.8775799 52.3644736,4.8775584 52.3644994,4.8774345 52.3646598,4.8776493 52.3647229)))",0
15,D,,1054CA,Tweede Helmersstraat,Amsterdam,E,1925,"Tweede Helmersstraat 15 D, 1054CA, Amsterdam",4.87770708,52.36470442,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
15,C,,1054CA,Tweede Helmersstraat,Amsterdam,F,1925,"Tweede Helmersstraat 15 C, 1054CA, Amsterdam",4.87770708,52.36470442,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
15,B,,1054CA,Tweede Helmersstraat,Amsterdam,C,1925,"Tweede Helmersstraat 15 B, 1054CA, Amsterdam",4.87770708,52.36470442,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
13,D,,1054CA,Tweede Helmersstraat,Amsterdam,D,1925,"Tweede Helmersstraat 13 D, 1054CA, Amsterdam",4.87782422,52.36473189,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
13,C,,1054CA,Tweede Helmersstraat,Amsterdam,C,1925,"Tweede Helmersstraat 13 C, 1054CA, Amsterdam",4.87782422,52.36473189,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
13,B,,1054CA,Tweede Helmersstraat,Amsterdam,C,1925,"Tweede Helmersstraat 13 B, 1054CA, Amsterdam",4.87782422,52.36473189,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
11,,3,1054CA,Tweede Helmersstraat,Amsterdam,G,1925,"Tweede Helmersstraat 11 3, 1054CA, Amsterdam",4.87792658,52.36476828,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
11,,2,1054CA,Tweede Helmersstraat,Amsterdam,D,1925,"Tweede Helmersstraat 11 2, 1054CA, Amsterdam",4.87792658,52.36476828,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
11,,1,1054CA,Tweede Helmersstraat,Amsterdam,G,1925,"Tweede Helmersstraat 11 1, 1054CA, Amsterdam",4.87792658,52.36476828,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
10,,3,1054CH,Tweede Helmersstraat,Amsterdam,C,1930,"Tweede Helmersstraat 10 3, 1054CH, Amsterdam",4.87792410,52.36498398,"MULTIPOLYGON (((4.8779144 52.3650688,4.8779892 52.3649717,4.877911 52.3649488,4.8778366 52.3650461,4.8779144 52.3650688)))",0
10,,2,1054CH,Tweede Helmersstraat,Amsterdam,B,1930,"Tweede Helmersstraat 10 2, 1054CH, Amsterdam",4.87792410,52.36498398,"MULTIPOLYGON (((4.8779144 52.3650688,4.8779892 52.3649717,4.877911 52.3649488,4.8778366 52.3650461,4.8779144 52.3650688)))",0
9,,3,1054CA,Tweede Helmersstraat,Amsterdam,A,1925,"Tweede Helmersstraat 9 3, 1054CA, Amsterdam",4.87802904,52.36479568,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
